Je charge 202599 images depuis data/celeba/img_align_celeba
  step   100 | G 3.2734 | D 0.1057
  step   200 | G 3.4669 | D 0.3259
  step   300 | G 3.2955 | D 0.3678
  step   400 | G 1.6989 | D 0.4018
  step   500 | G 2.0429 | D 0.4955
  step   600 | G 2.3014 | D 0.6295
  step   700 | G 1.9707 | D 0.8169
  step   800 | G 1.5622 | D 0.9690
  step   900 | G 1.4758 | D 0.8141
  step  1000 | G 1.8893 | D 0.9109
  step  1100 | G 2.3620 | D 1.0406
  step  1200 | G 1.4042 | D 0.9143
  step  1300 | G 1.5728 | D 0.8815
  step  1400 | G 1.7284 | D 0.8356
  step  1500 | G 1.1606 | D 0.8229
Epoch 00001 | G Loss: 2.5639 | D Loss: 0.6925 | Time: 1588.82s

============================================================
Résumé Epoch 00001
============================================================
Moyenne G Loss (derniers 1 epochs): 2.5639
Moyenne D Loss (derniers 1 epochs): 0.6925
============================================================

  step   100 | G 1.8978 | D 0.7284
  step   200 | G 1.1753 | D 0.7529
  step   300 | G 1.6194 | D 0.6924
  step   400 | G 2.1698 | D 0.8495
  step   500 | G 2.1023 | D 0.7052
  step   600 | G 1.7663 | D 0.8108
  step   700 | G 3.0617 | D 0.7270
  step   800 | G 1.8712 | D 0.6300
  step   900 | G 1.7655 | D 0.5866
  step  1000 | G 2.4331 | D 0.8512
  step  1100 | G 1.5713 | D 0.8632
  step  1200 | G 1.4256 | D 0.7997
  step  1300 | G 1.5433 | D 0.7107
  step  1400 | G 1.4728 | D 0.6171
  step  1500 | G 1.5187 | D 0.6585
Epoch 00002 | G Loss: 1.8621 | D Loss: 0.7696 | Time: 1592.60s
  step   100 | G 1.5945 | D 0.7171
  step   200 | G 1.6226 | D 0.6774
  step   300 | G 2.9312 | D 0.7215
  step   400 | G 1.8780 | D 0.6822
  step   500 | G 2.3351 | D 0.5665
  step   600 | G 1.9807 | D 0.7946
  step   700 | G 1.7467 | D 0.5660
  step   800 | G 2.1779 | D 0.7721
  step   900 | G 2.5561 | D 0.7239
  step  1000 | G 1.2587 | D 0.7994
  step  1100 | G 2.9046 | D 0.8453
  step  1200 | G 2.6131 | D 0.7473
  step  1300 | G 2.5214 | D 0.8009
  step  1400 | G 2.3121 | D 0.6574
  step  1500 | G 1.6432 | D 0.7515
Epoch 00003 | G Loss: 1.9952 | D Loss: 0.7318 | Time: 1587.78s
  step   100 | G 2.4417 | D 0.8385
  step   200 | G 2.2464 | D 0.6933
  step   300 | G 2.0871 | D 0.9096
  step   400 | G 1.8614 | D 0.6682
  step   500 | G 1.5385 | D 0.8337
  step   600 | G 1.9360 | D 0.7812
  step   700 | G 2.1531 | D 0.6419
  step   800 | G 2.3831 | D 0.7324
  step   900 | G 1.7028 | D 0.6818
  step  1000 | G 1.7603 | D 0.7197
  step  1100 | G 1.6039 | D 0.7430
  step  1200 | G 1.7068 | D 0.6879
  step  1300 | G 1.6709 | D 0.7843
  step  1400 | G 2.1016 | D 0.9325
  step  1500 | G 2.2619 | D 0.7027
Epoch 00004 | G Loss: 2.0006 | D Loss: 0.7647 | Time: 1589.33s
  step   100 | G 2.4847 | D 0.8583
  step   200 | G 2.3380 | D 0.7436
  step   300 | G 1.5785 | D 0.6878
  step   400 | G 2.2617 | D 0.6699
  step   500 | G 2.2895 | D 0.6859
  step   600 | G 1.9146 | D 0.8201
  step   700 | G 2.2414 | D 0.8488
  step   800 | G 2.5750 | D 0.7464
  step   900 | G 2.3620 | D 0.7546
  step  1000 | G 1.9695 | D 0.7698
  step  1100 | G 2.5065 | D 0.8828
  step  1200 | G 2.0497 | D 0.7487
  step  1300 | G 1.6670 | D 0.6962
  step  1400 | G 1.8606 | D 0.7008
  step  1500 | G 1.7613 | D 0.8234
Epoch 00005 | G Loss: 1.9134 | D Loss: 0.8141 | Time: 1578.69s
  step   100 | G 1.8670 | D 0.9156
  step   200 | G 1.4331 | D 0.8228
  step   300 | G 1.5035 | D 0.9062
  step   400 | G 1.7966 | D 0.6729
  step   500 | G 2.7093 | D 0.8905
  step   600 | G 1.7850 | D 0.7728
  step   700 | G 1.9573 | D 0.7692
  step   800 | G 2.0446 | D 0.7348
  step   900 | G 1.9119 | D 0.7774
  step  1000 | G 1.8597 | D 0.9509
  step  1100 | G 2.0012 | D 0.8467
  step  1200 | G 1.9482 | D 0.9130
  step  1300 | G 2.1436 | D 0.9608
  step  1400 | G 1.6386 | D 0.8296
  step  1500 | G 2.2192 | D 0.7388
Epoch 00006 | G Loss: 1.8886 | D Loss: 0.8339 | Time: 1591.17s
  step   100 | G 1.9567 | D 1.1168
  step   200 | G 2.4125 | D 0.7405
  step   300 | G 1.7807 | D 0.8705
  step   400 | G 1.5934 | D 0.8216
  step   500 | G 1.6351 | D 0.8337
  step   600 | G 1.5578 | D 0.7902
  step   700 | G 1.4524 | D 0.8420
  step   800 | G 2.6832 | D 0.9057
  step   900 | G 1.6784 | D 0.8860
  step  1000 | G 1.5029 | D 0.7839
  step  1100 | G 1.8928 | D 0.7899
  step  1200 | G 1.2611 | D 1.0830
  step  1300 | G 1.2333 | D 0.8493
  step  1400 | G 1.5899 | D 1.0174
  step  1500 | G 1.8999 | D 0.8036
Epoch 00007 | G Loss: 1.8371 | D Loss: 0.8565 | Time: 1605.87s
  step   100 | G 3.0090 | D 0.8636
  step   200 | G 2.0005 | D 0.8755
  step   300 | G 2.5335 | D 0.9806
  step   400 | G 2.4432 | D 0.8979
  step   500 | G 1.7107 | D 0.8492
  step   600 | G 1.9257 | D 0.8506
  step   700 | G 1.4234 | D 0.7812
  step   800 | G 1.8825 | D 0.8005
  step   900 | G 2.4270 | D 0.8531
  step  1000 | G 1.4089 | D 0.9251
  step  1100 | G 1.5751 | D 0.8480
  step  1200 | G 1.8173 | D 0.8457
  step  1300 | G 1.2863 | D 0.9137
  step  1400 | G 2.0224 | D 0.7897
  step  1500 | G 1.6404 | D 0.9368
Epoch 00008 | G Loss: 1.7660 | D Loss: 0.8968 | Time: 1585.72s
  step   100 | G 1.6246 | D 0.8625
  step   200 | G 1.8732 | D 0.8823
  step   300 | G 2.0993 | D 1.0168
  step   400 | G 1.2701 | D 0.8766
  step   500 | G 1.3225 | D 0.8969
  step   600 | G 1.9649 | D 0.9466
  step   700 | G 1.4539 | D 0.7684
  step   800 | G 1.9832 | D 0.8193
  step   900 | G 1.5367 | D 1.0096
  step  1000 | G 1.6151 | D 0.9464
  step  1100 | G 1.9200 | D 0.8714
  step  1200 | G 1.8633 | D 0.9901
  step  1300 | G 1.4324 | D 0.9175
  step  1400 | G 1.8693 | D 0.8937
  step  1500 | G 1.8520 | D 0.7935
Epoch 00009 | G Loss: 1.7468 | D Loss: 0.8894 | Time: 1563.82s
  step   100 | G 1.5307 | D 0.8402
  step   200 | G 2.0800 | D 0.7451
  step   300 | G 1.6640 | D 1.1332
  step   400 | G 1.9517 | D 0.8866
  step   500 | G 1.4801 | D 0.9321
  step   600 | G 1.6676 | D 0.9095
  step   700 | G 1.7062 | D 0.9160
  step   800 | G 1.5376 | D 1.0131
  step   900 | G 1.4015 | D 0.9989
  step  1000 | G 1.7424 | D 0.8844
  step  1100 | G 1.2918 | D 0.8552
  step  1200 | G 1.5136 | D 0.7639
  step  1300 | G 1.9100 | D 0.9951
  step  1400 | G 1.9949 | D 1.0364
  step  1500 | G 1.4948 | D 1.0141
Epoch 00010 | G Loss: 1.7435 | D Loss: 0.9107 | Time: 1552.74s
  step   100 | G 1.6947 | D 0.8266
  step   200 | G 1.9463 | D 1.0652
  step   300 | G 1.9181 | D 0.7768
  step   400 | G 1.5362 | D 0.9106
  step   500 | G 1.6733 | D 0.8826
  step   600 | G 1.8646 | D 0.9517
  step   700 | G 1.7724 | D 0.7460
  step   800 | G 1.2879 | D 1.1006
  step   900 | G 1.5363 | D 0.8146
  step  1000 | G 1.4309 | D 0.7942
  step  1100 | G 2.1139 | D 0.9489
  step  1200 | G 1.4901 | D 0.8919
  step  1300 | G 2.0080 | D 0.9303
  step  1400 | G 1.8442 | D 1.0019
  step  1500 | G 1.5256 | D 0.9604
Epoch 00011 | G Loss: 1.7076 | D Loss: 0.9063 | Time: 1562.70s
  step   100 | G 1.2134 | D 0.8758
  step   200 | G 1.4892 | D 0.8967
  step   300 | G 1.3849 | D 0.8861
  step   400 | G 1.4750 | D 0.9951
  step   500 | G 1.7742 | D 0.8736
  step   600 | G 1.5087 | D 0.8974
  step   700 | G 1.7183 | D 0.9615
  step   800 | G 1.7528 | D 0.7658
  step   900 | G 1.5851 | D 0.8625
  step  1000 | G 1.9688 | D 0.8432
  step  1100 | G 1.5018 | D 1.0244
  step  1200 | G 1.5870 | D 0.8553
  step  1300 | G 1.5859 | D 1.0729
  step  1400 | G 1.8108 | D 0.9364
  step  1500 | G 1.3228 | D 1.2822
Epoch 00012 | G Loss: 1.7069 | D Loss: 0.9590 | Time: 1607.42s
  step   100 | G 1.5469 | D 0.9614
  step   200 | G 1.3002 | D 0.9271
  step   300 | G 1.5075 | D 0.8905
  step   400 | G 1.3119 | D 0.8625
  step   500 | G 1.6719 | D 0.8729
  step   600 | G 1.5916 | D 0.9330
  step   700 | G 1.6422 | D 0.8580
  step   800 | G 2.0881 | D 0.8819
  step   900 | G 1.1227 | D 0.9049
  step  1000 | G 2.0033 | D 0.8730
  step  1100 | G 2.0683 | D 1.0115
  step  1200 | G 1.6735 | D 0.9623
  step  1300 | G 2.0347 | D 0.9343
  step  1400 | G 1.5771 | D 0.9548
  step  1500 | G 1.5197 | D 1.0467
Epoch 00013 | G Loss: 1.6246 | D Loss: 0.9119 | Time: 1575.91s
  step   100 | G 1.4784 | D 1.0758
  step   200 | G 1.7649 | D 0.9693
  step   300 | G 1.6071 | D 0.8894
  step   400 | G 1.7779 | D 0.9385
  step   500 | G 2.1040 | D 0.9330
  step   600 | G 1.6754 | D 0.8915
  step   700 | G 2.0868 | D 0.9132
  step   800 | G 1.4209 | D 0.9985
  step   900 | G 1.4603 | D 1.0431
  step  1000 | G 2.0621 | D 0.8404
  step  1100 | G 1.5094 | D 0.9111
  step  1200 | G 1.5839 | D 0.9496
  step  1300 | G 1.9424 | D 1.0718
  step  1400 | G 1.6958 | D 1.0476
  step  1500 | G 1.5900 | D 0.9744
Epoch 00014 | G Loss: 1.6669 | D Loss: 0.9299 | Time: 1565.26s
  step   100 | G 1.6256 | D 0.9379
  step   200 | G 1.7056 | D 0.9012
  step   300 | G 1.2545 | D 1.0293
  step   400 | G 1.6564 | D 0.8663
  step   500 | G 1.7094 | D 0.9053
  step   600 | G 1.6503 | D 1.0284
  step   700 | G 1.7184 | D 0.9836
  step   800 | G 1.4639 | D 1.0343
  step   900 | G 1.8173 | D 0.9650
  step  1000 | G 1.5039 | D 0.8675
  step  1100 | G 1.9605 | D 1.0552
  step  1200 | G 1.4570 | D 0.8696
  step  1300 | G 1.2672 | D 0.8800
  step  1400 | G 1.5203 | D 0.9045
  step  1500 | G 1.3713 | D 0.9711
Epoch 00015 | G Loss: 1.6233 | D Loss: 0.9562 | Time: 1582.98s
  step   100 | G 1.6451 | D 1.0635
  step   200 | G 1.8190 | D 0.9736
  step   300 | G 1.7460 | D 0.9022
  step   400 | G 1.7250 | D 0.9086
  step   500 | G 1.6510 | D 0.9978
  step   600 | G 1.5886 | D 0.9359
  step   700 | G 1.6774 | D 0.8939
  step   800 | G 1.5615 | D 0.8259
  step   900 | G 1.7933 | D 0.9578
