Chargement du dataset CelebA...
Je charge 202599 images depuis data/celeba/img_align_celeba/

============================================================
DÉMARRAGE DE L'ENTRAÎNEMENT DU GAN
============================================================

Créations des modèless
Générateur : 2,733,507 paramètres
Discriminateur : 1,045,633 paramètres

Optimiseurs Adam :
  - Générateur : lr=0.0001, beta_1=0.5, beta_2=0.999
  - Discriminateur : lr=0.0002, beta_1=0.5, beta_2=0.999

Configuration :
  - Epochs : 1000
  - Batch size : 128
  - Image size : 64x64
  - Noise dim : 100
  - Save interval : 100

============================================================
DÉBUT DE L'ENTRAÎNEMENT
============================================================

Epoch 00001 |`G Loss: 0.7868 | D Loss: 1.2623 | Time: 22.87s
Epoch 00002 |`G Loss: 1.4075 | D Loss: 0.6848 | Time: 18.18s
Epoch 00003 |`G Loss: 1.9670 | D Loss: 0.6715 | Time: 18.21s
Epoch 00004 |`G Loss: 2.1276 | D Loss: 0.7176 | Time: 18.35s
Epoch 00005 |`G Loss: 1.5298 | D Loss: 0.8563 | Time: 18.31s
Epoch 00006 |`G Loss: 2.1415 | D Loss: 0.9498 | Time: 18.38s
Epoch 00007 |`G Loss: 1.9954 | D Loss: 0.8635 | Time: 18.38s
Epoch 00008 |`G Loss: 1.9696 | D Loss: 0.8438 | Time: 18.34s
Epoch 00009 |`G Loss: 1.5170 | D Loss: 0.9773 | Time: 18.39s
Epoch 00010 |`G Loss: 1.1856 | D Loss: 0.8615 | Time: 18.37s
Epoch 00011 |`G Loss: 1.1842 | D Loss: 0.9941 | Time: 18.32s
Epoch 00012 |`G Loss: 1.5506 | D Loss: 0.9428 | Time: 18.39s
Epoch 00013 |`G Loss: 1.9064 | D Loss: 0.8833 | Time: 18.41s
Epoch 00014 |`G Loss: 1.7469 | D Loss: 1.0111 | Time: 18.36s
Epoch 00015 |`G Loss: 1.5241 | D Loss: 0.9298 | Time: 18.39s
Epoch 00016 |`G Loss: 1.7193 | D Loss: 1.0362 | Time: 18.33s
Epoch 00017 |`G Loss: 1.5761 | D Loss: 0.8063 | Time: 18.29s
Epoch 00018 |`G Loss: 1.6385 | D Loss: 0.9638 | Time: 18.37s
Epoch 00019 |`G Loss: 1.3594 | D Loss: 1.0762 | Time: 18.38s
Epoch 00020 |`G Loss: 1.4755 | D Loss: 0.9803 | Time: 18.33s
Epoch 00021 |`G Loss: 2.1002 | D Loss: 0.9145 | Time: 18.19s
Epoch 00022 |`G Loss: 1.7690 | D Loss: 1.0038 | Time: 18.16s
Epoch 00023 |`G Loss: 1.5779 | D Loss: 0.9016 | Time: 18.26s
Epoch 00024 |`G Loss: 1.6675 | D Loss: 0.8797 | Time: 18.38s
Epoch 00025 |`G Loss: 1.6299 | D Loss: 0.8842 | Time: 19.30s
Epoch 00026 |`G Loss: 1.8381 | D Loss: 0.9524 | Time: 19.84s
Epoch 00027 |`G Loss: 1.6873 | D Loss: 1.0005 | Time: 19.88s
Epoch 00028 |`G Loss: 1.7340 | D Loss: 0.9832 | Time: 18.49s
Epoch 00029 |`G Loss: 1.3541 | D Loss: 0.9522 | Time: 18.34s
Epoch 00030 |`G Loss: 1.6496 | D Loss: 0.8831 | Time: 18.45s
Epoch 00031 |`G Loss: 1.1567 | D Loss: 0.9679 | Time: 18.42s
Epoch 00032 |`G Loss: 1.4621 | D Loss: 1.0175 | Time: 18.32s
Epoch 00033 |`G Loss: 1.3797 | D Loss: 0.9353 | Time: 18.41s
Epoch 00034 |`G Loss: 1.5434 | D Loss: 0.8467 | Time: 18.38s
Epoch 00035 |`G Loss: 1.9576 | D Loss: 0.8587 | Time: 18.49s
Epoch 00036 |`G Loss: 1.6878 | D Loss: 0.9844 | Time: 18.37s
Epoch 00037 |`G Loss: 1.4138 | D Loss: 0.9085 | Time: 18.49s
Epoch 00038 |`G Loss: 1.9257 | D Loss: 1.0541 | Time: 18.41s
Epoch 00039 |`G Loss: 1.4504 | D Loss: 0.9645 | Time: 18.35s
Epoch 00040 |`G Loss: 1.6749 | D Loss: 1.1157 | Time: 18.35s
Epoch 00041 |`G Loss: 1.7820 | D Loss: 0.7829 | Time: 18.31s
Epoch 00042 |`G Loss: 1.7572 | D Loss: 1.0015 | Time: 18.36s
Epoch 00043 |`G Loss: 1.8558 | D Loss: 0.8798 | Time: 18.41s
Epoch 00044 |`G Loss: 1.3304 | D Loss: 1.4835 | Time: 18.27s
Epoch 00045 |`G Loss: 1.2711 | D Loss: 0.9270 | Time: 18.34s
Epoch 00046 |`G Loss: 1.6392 | D Loss: 0.7816 | Time: 18.33s
Epoch 00047 |`G Loss: 1.8057 | D Loss: 0.8609 | Time: 18.38s
Epoch 00048 |`G Loss: 1.9901 | D Loss: 0.8477 | Time: 18.36s
